Energy Consumption (kWh),Raw Materials Used (tons),CO2 Emissions (tons),CH4 Emissions (tons),N2O Emissions (tons),Particulate Matter (kg),Flow Rate (m³/s),Temperature (°C),Pressure (Pa),Gas Sensor Readings (ppm),Emission Factor,Carbon Intensity (kg CO2/ton of steel),CO2 Capture (tons),Carbon Credits (tons)
104969,645,1055.617992,70,2,32,7,1486,104279,1050.667768,1.996884933,2408,115,747.4943935
136465,492,1315.791355,23,2,33,5,1535,95737,1636.76236,1.954243156,1458,90,999.6330836
139713,462,1245.139236,79,4,29,11,1468,85463,1280.344582,2.14992942,2115,113,917.1113889
50785,665,1399.368217,23,1,17,8,1585,91294,1555.63408,2.000495488,1632,145,1067.494574
123679,605,1003.2385,27,2,19,9,1570,102405,961.4764857,2.572089481,2193,82,749.5907998
139628,479,1627.962714,61,4,29,6,1461,95814,1486.207094,2.572367351,1647,81,1240.370171
97818,436,1121.023496,45,1,10,11,1520,87933,1354.51991,1.890682175,1989,74,833.818797
63635,410,1090.401663,48,4,29,5,1451,87942,1222.536715,2.364075038,1860,109,813.3213301
126518,514,1403.241474,35,2,14,8,1432,97983,1461.075907,1.982582349,2448,52,1059.593179
63409,489,1604.944873,38,4,35,12,1419,91356,1473.685494,2.37394571,1535,100,1217.955898
98756,631,1022.542623,20,4,24,11,1586,101377,898.743528,2.413685318,1689,56,747.0340987
68541,418,1373.788574,56,2,17,11,1587,104777,1203.488027,1.838533529,1618,110,1004.030859
108022,451,892.6882108,53,2,37,11,1590,99245,894.353448,2.356278663,1811,74,628.1505686
119064,673,1114.421036,48,4,19,9,1511,102049,1323.274942,2.51743759,2236,136,821.5368288
86327,493,1387.56413,46,2,15,14,1583,91331,1651.928274,1.973041923,1207,141,1036.051304
96888,431,1488.653005,67,3,24,7,1436,88643,1671.00203,1.892454133,2082,125,1138.922404
140054,550,887.9662729,64,3,24,14,1587,85767,906.8316349,2.253459631,1358,57,642.3730183
74946,539,1267.85932,49,3,36,11,1505,98274,1099.81074,2.213967401,1972,148,933.2874559
147616,457,1169.723056,25,1,19,12,1504,93575,1157.354646,2.508615926,2351,74,871.7784449
74556,420,841.7799298,55,3,30,11,1450,97312,923.7366979,2.160868718,1883,143,583.4239439
71775,548,1899.227875,76,3,28,10,1428,100896,1989.45701,2.130839615,2018,112,1446.3823
139577,620,1724.794386,58,3,13,13,1536,86337,1736.897376,2.371176049,2206,81,1321.835509
50835,620,1976.994834,21,2,31,10,1485,89059,1906.032206,1.861942386,1352,149,1522.595867
101645,641,1494.526988,74,2,15,9,1439,94584,1683.221704,1.845634671,2140,81,1098.621591
85747,618,1364.489477,61,2,24,10,1595,87147,1597.977589,2.203934239,1724,102,1010.591581
93285,428,1115.503158,33,2,15,14,1570,86411,1239.832252,1.87122526,2130,74,803.4025264
94884,446,1057.268371,27,2,27,8,1499,95898,1288.771838,2.551305144,1743,75,789.8146967
66104,457,1338.962522,22,3,20,10,1422,95007,1526.332581,2.323392998,1605,57,976.1700179
64927,674,1369.322786,54,3,21,8,1502,89150,1335.503835,2.402918819,2357,118,996.4582285
54521,539,1293.159132,46,2,39,9,1407,92663,1368.64955,1.983098211,1248,51,958.5273052
94086,422,1388.492039,53,4,17,10,1473,95823,1391.52395,2.195221065,1978,68,1046.793631
64280,462,1391.6437,47,2,33,5,1463,91898,1423.876462,1.907076957,1267,116,1020.31496
113266,451,828.0992888,50,3,31,10,1550,103558,991.9386768,1.962482936,1367,125,592.4794311
80753,665,2177.030223,36,3,39,10,1492,89051,1960.261709,2.254567068,2129,145,1682.624178
101528,566,1515.76678,38,2,23,5,1519,88392,1146.749413,2.023930027,1303,119,1140.613424
99605,550,1572.215902,61,1,13,11,1508,101125,1726.015407,2.533702541,1925,57,1203.772721
118995,410,856.290384,63,4,27,14,1495,88467,719.7179257,2.596194372,2381,108,587.0323072
144971,494,1177.245732,78,2,15,9,1583,94364,973.7190263,1.803141349,1300,54,886.796586
78077,471,1466.517355,74,3,15,12,1541,92570,1827.629808,2.407279055,1313,126,1102.213884
116684,447,966.1245396,30,4,35,9,1479,93417,853.4624656,1.892268661,1517,80,695.8996317
87345,671,1228.012688,28,1,28,14,1502,98125,1046.124213,2.259698356,1877,62,914.4101504
81036,494,1114.765254,49,4,11,9,1416,95931,942.524701,1.982786838,1741,50,793.8122032
99273,632,1035.492396,76,2,13,6,1419,86333,990.1137742,2.571899144,2255,95,765.3939165
70002,447,1312.263674,64,3,33,8,1514,101802,1252.829826,2.500645591,1538,53,952.8109391
112020,607,1089.863533,25,3,14,8,1411,97802,1162.066721,2.276318335,2339,69,815.8908266
98440,626,1295.977636,33,3,24,14,1523,89968,1039.139939,1.94081328,1705,142,972.7821085
89398,476,1552.789117,50,4,12,14,1521,95906,1657.947808,2.426145019,1812,81,1161.231294
109516,618,1595.055105,73,2,38,12,1471,104200,1558.076065,2.216238416,2076,146,1205.044084
121466,480,1028.484903,30,2,25,7,1568,101551,878.1482273,2.289250522,1464,127,727.7879224
128924,436,1131.565528,24,4,39,5,1484,100696,1288.978206,2.374354577,2132,132,835.2524225
103965,501,970.214215,50,4,22,11,1559,94510,957.6319478,2.133065602,1472,52,708.171372
69691,590,914.7042931,21,1,21,13,1564,88082,1013.977718,1.806191187,1697,101,669.7634344
119178,428,1158.795002,58,3,30,10,1509,87404,1402.471963,2.091337313,1698,60,856.0360016
69201,652,1909.220216,36,4,18,6,1417,100148,1769.278941,2.130900938,2206,58,1468.376173
57421,650,2118.716295,57,3,20,6,1428,103562,2540.239614,2.093540347,1568,106,1599.973036
63554,625,1902.354201,65,1,17,5,1534,99540,1617.325883,2.464843925,1576,111,1426.883361
108828,493,1653.204213,55,2,37,10,1439,89699,1423.516639,2.065881773,2283,105,1229.56337
107620,485,1683.874871,22,3,35,12,1500,88385,1821.697977,2.133069859,1971,100,1274.099897
121124,509,1521.844286,62,4,16,5,1519,91629,1219.477928,1.849282671,1624,141,1160.475429
139307,616,1993.281507,48,4,13,5,1533,101494,1948.213421,2.373486273,2360,51,1537.625205
141360,595,1694.240489,52,1,11,5,1547,90409,1451.822016,1.972335011,1978,126,1257.392391
124852,696,1281.945405,33,3,37,14,1454,97699,1327.362387,1.988009237,2458,148,927.5563243
110245,443,825.4883497,57,2,34,9,1583,95812,952.1275494,2.269483332,2478,144,572.3906798
95562,489,841.3337483,48,2,28,11,1472,97737,648.8468761,2.586842769,1687,127,574.0669986
78234,554,1875.81599,42,4,31,8,1580,100224,1794.508763,2.128115743,1937,64,1432.652792
135322,508,1445.515725,78,1,39,5,1599,90741,1612.236171,2.061726025,2321,118,1065.41258
65329,458,1410.557331,36,4,38,5,1487,95177,1299.302657,1.828965016,1224,88,1061.445865
65698,509,1100.618169,78,4,32,14,1524,102828,848.4148463,2.429899096,1668,83,798.4945351
140863,505,1222.525927,68,4,21,7,1560,94671,1278.383329,2.009029972,1624,92,881.0207417
97609,620,979.3266195,74,4,12,9,1421,95983,793.3351217,2.415071983,2152,115,697.4612956
66548,662,2170.045798,30,1,28,9,1449,89220,2028.905697,2.025812363,1777,94,1658.036639
89757,481,1542.089299,47,4,12,13,1426,103691,1920.312289,1.823911168,2488,146,1152.671439
115234,671,2059.716811,73,3,28,13,1447,101918,1954.691819,2.198569288,2458,76,1590.773449
68340,448,724.2386526,26,4,28,13,1465,99023,848.3937791,2.524846431,1847,116,498.3909221
119396,431,796.7032721,64,4,16,12,1540,93271,940.0326742,1.968472822,1325,111,576.3626177
134695,488,1058.150562,59,2,38,13,1529,88636,932.6703963,1.923136106,1807,113,775.5204496
77865,418,846.9203966,27,2,23,12,1445,98729,887.3629543,1.947827712,2038,51,608.5363173
109767,402,1277.12171,60,1,30,12,1470,104508,1562.851297,2.352221241,1749,77,927.6973681
147291,459,867.359226,48,1,13,12,1527,97559,913.4735201,2.093917635,2371,143,618.8873808
63743,641,1643.683565,44,3,15,12,1410,85895,1901.129065,2.004848663,1758,90,1248.946852
121762,428,1131.10222,26,4,23,9,1425,91371,1109.929639,2.070158035,1278,136,813.8817758
128254,474,1113.911231,76,2,17,14,1590,91077,1236.066859,2.047276711,1739,146,808.1289849
99934,469,929.26528,41,3,27,7,1448,88763,707.1021093,2.235021667,1678,101,663.412224
106972,482,1648.723696,28,3,37,8,1462,104143,1885.705848,1.906666831,1477,63,1251.978957
75530,572,1330.928733,30,1,24,13,1420,103623,1445.288407,2.206977108,1312,110,1012.742987
109336,596,1760.953515,53,2,28,11,1576,104478,1636.673113,2.049398631,1991,127,1341.762812
109003,546,1019.978765,46,4,27,13,1478,94767,977.6424602,2.546105188,2449,99,746.9830116
82908,672,2113.858211,69,1,39,11,1479,102743,1930.601402,2.137453175,2296,62,1621.086568
117186,434,838.3941026,41,3,24,12,1408,100589,848.5749677,1.880007588,1260,117,586.7152821
90653,512,1459.513983,22,3,32,7,1548,86553,1173.942291,2.546887116,1713,68,1076.611186
97032,605,1520.360162,69,2,21,12,1580,103919,1782.557628,2.550000109,2312,137,1124.288129
83783,557,998.7646551,67,2,27,8,1515,100069,987.8050499,1.940395454,1638,85,720.011724
103535,652,1010.533752,59,4,39,10,1519,98734,779.6784168,2.453139582,2227,119,723.4270014
121828,521,1751.339693,74,2,14,5,1454,102767,1797.716692,2.489552668,1943,61,1348.071754
138273,447,782.8673191,27,2,36,6,1440,96432,951.3862171,2.084477148,1257,122,562.2938553
110527,584,1699.383269,25,1,24,11,1405,92680,1348.851912,1.927600414,1838,62,1262.506615
75551,672,1885.208585,76,1,35,10,1400,100184,1530.02828,2.438758892,1354,73,1452.166868
93543,500,1091.720042,44,4,18,14,1494,87395,1030.137907,1.822644871,1309,95,792.376034
69504,414,774.4970408,21,1,17,9,1591,98510,865.7421872,2.295525983,1558,64,537.5976327
66371,527,978.4579749,35,4,17,11,1532,88283,1029.642059,2.073580076,1963,95,720.7663799
100975,609,1626.429325,77,1,12,6,1425,98463,1592.241366,2.276821396,2416,143,1235.14346
136346,511,1325.453563,72,3,22,14,1400,103292,1652.009462,2.431078009,2054,145,971.3628505
79036,669,2175.501057,60,1,22,8,1400,95769,1833.722535,2.462990572,1632,145,1653.400846
131083,541,1503.983331,70,4,21,9,1492,88161,1745.941759,2.598773847,1728,147,1148.186665
103756,572,1795.250573,40,1,24,12,1437,101402,1457.597108,2.312180278,1598,84,1337.200458
142739,565,884.1267606,34,2,23,10,1440,92686,742.4927596,1.978771257,1866,67,654.3014085
59305,518,1472.1489,75,3,10,10,1555,90951,1321.580651,2.020881863,1316,132,1113.71912
124349,602,1184.385201,53,1,11,9,1532,90382,1405.329725,2.148916064,1428,128,890.5081605
116436,410,822.3279472,66,3,32,14,1548,97123,799.3873531,2.478776499,2123,71,574.8623577
53747,648,1905.867182,73,3,13,9,1462,103768,1806.557599,2.093484021,2198,74,1445.693745
95024,647,1997.202249,62,3,22,5,1485,87333,1987.941013,2.350615962,1490,73,1525.761799
100623,553,1240.639436,39,3,19,8,1483,89349,1321.843214,1.836070204,2410,55,934.5115484
73245,424,1305.985141,63,2,30,13,1539,104028,1256.027401,2.14404638,1658,85,971.7881126
53103,620,1480.243397,50,2,22,6,1533,92368,1822.573136,1.9336209,2384,59,1091.194718
115609,509,1636.582965,34,4,10,10,1556,101243,1338.186356,2.550754362,1254,61,1252.266372
118033,489,757.8558892,67,4,20,6,1508,100949,748.6351719,2.433148385,2242,118,507.2847114
79577,664,1106.881454,47,4,27,13,1503,96473,1060.078664,1.910992597,1953,69,830.5051632
109746,439,1340.136887,25,4,18,9,1588,86263,1469.263644,2.121481072,1209,86,998.1095094
136548,662,1819.294667,22,3,15,13,1434,85918,2240.537211,1.864473375,1639,67,1393.435734
58487,557,1458.248563,57,3,32,14,1474,89915,1303.975252,2.397246945,2230,146,1083.59885
99449,517,1410.354087,42,3,22,9,1524,102064,1731.439885,1.953092424,1289,90,1054.283269
145559,655,2201.049722,77,2,14,13,1451,98124,2561.691314,2.443467183,1367,61,1693.839778
140413,595,1672.589067,22,2,34,6,1432,101381,1932.240048,1.859218122,1602,146,1280.071254
95567,413,1154.315272,72,3,39,11,1552,98234,907.9127966,2.258365962,1397,118,841.4522179
114849,517,1560.79289,64,3,19,12,1413,85472,1904.62265,2.286560967,2192,122,1193.634312
122053,616,1991.676709,63,3,14,7,1452,93032,2329.194058,2.067467789,2086,146,1530.341367
55615,604,1222.390274,27,3,31,5,1460,95935,1335.206582,1.931366578,1339,113,922.912219
126004,476,1301.144914,21,2,19,6,1412,89324,1059.040385,2.059063356,1931,79,973.9159312
60879,571,1523.399408,26,1,34,14,1414,90958,1462.491812,2.196409405,1901,66,1126.719527
147491,425,752.1220593,36,4,14,9,1454,96671,880.0686475,2.575286116,1528,84,513.6976474
101996,527,1338.914091,26,4,29,13,1580,104854,1297.09403,2.157553468,1263,129,996.1312724
63078,541,886.7536569,52,1,37,9,1599,89822,858.5793511,1.95150547,1858,89,624.4029256
104775,423,790.9758109,55,2,30,5,1446,90808,700.0633482,1.820708983,1411,68,547.7806488
54590,631,2098.659409,66,2,20,5,1572,104395,1627.707909,1.806583546,2316,109,1618.927528
104100,576,1001.368145,23,1,38,6,1496,95357,1007.878947,2.133390388,2040,96,734.0945161
60910,634,1685.065868,63,4,14,5,1474,102481,1916.315456,2.037047444,1513,51,1284.052695
81976,425,912.4585916,35,4,14,12,1591,97324,750.9859752,1.892065544,2285,119,650.9668733
71574,665,1736.066677,40,1,26,6,1414,96593,2077.878733,1.937740324,1658,91,1298.853341
90652,516,1016.492696,37,1,30,12,1420,97474,1044.590579,2.079924789,1253,109,739.1941566
138252,457,1091.662822,65,3,14,9,1435,92551,1262.12536,2.349304124,1497,60,808.3302573
83430,669,2163.992134,65,1,10,5,1597,96230,2344.728619,2.287670361,1898,122,1670.193707
123735,694,1563.189165,47,1,22,8,1552,101106,1277.864642,1.863964265,2487,76,1187.551332
105627,521,1149.358237,62,4,13,6,1443,100205,1383.018294,1.914421243,2109,63,823.4865899
102239,558,1334.867776,79,3,17,10,1528,86449,1480.468314,2.526722389,1910,148,1005.894221
103913,577,981.4687423,35,3,29,9,1441,96655,753.5613898,1.856865002,1534,133,697.1749938
148972,543,1235.158869,66,4,32,13,1586,104283,1284.592544,1.959098227,1557,108,909.127095
143276,488,738.7346446,41,4,15,7,1432,89503,731.3939148,2.054353743,1627,145,505.9877157
59477,638,1599.334757,25,2,24,9,1502,98306,1886.538556,1.984095254,1498,57,1184.467806
102772,437,1396.600503,49,3,24,14,1559,95388,1133.191112,2.03267067,1447,124,1052.280403
115696,478,1244.781887,75,1,30,11,1593,102844,1301.322399,2.382192339,1870,115,945.8255099
93358,651,1767.758182,64,3,25,13,1552,90381,1600.068676,1.876010513,2099,54,1324.206546
94205,548,855.4974549,77,2,18,7,1439,94572,746.686249,2.081786721,1532,79,606.3979639
121996,415,1335.897433,47,1,38,8,1585,96148,1016.975533,2.289383432,2006,124,992.7179468
112376,668,1516.364747,36,2,33,5,1496,92710,1389.163249,1.839072762,1293,129,1151.091797
131937,517,1783.497672,55,4,14,6,1514,94331,1690.841296,1.835435742,2406,74,1360.798137
72894,591,1028.890067,31,2,39,7,1501,92092,1002.029197,2.19885399,1218,74,746.1120534
109919,687,2328.47917,69,4,35,14,1463,98008,2601.75143,2.519859639,2419,124,1793.783336
52918,696,1926.932942,78,2,32,11,1546,100986,1833.999308,2.155814759,1264,111,1487.546353
75629,593,951.5755961,59,4,25,11,1427,104506,806.5744503,2.125315728,2007,114,688.2604769
66699,680,2341.510746,31,3,39,5,1479,86095,2222.264902,1.808126235,1551,146,1815.208597
103984,649,991.5072425,55,4,36,13,1511,94855,778.1175354,2.386169106,2427,50,711.205794
101363,630,1865.682213,59,3,34,7,1569,96065,2306.052459,1.931268116,1275,96,1409.54577
57069,402,1318.182079,48,4,16,7,1485,97430,1032.290405,2.35879492,1923,122,959.5456628
104285,573,1060.980041,21,2,12,6,1577,104525,902.8361139,2.078805008,2170,76,772.7840329
120063,639,1397.31049,48,2,19,7,1505,90087,1347.029415,1.835990818,1956,87,1031.848392
69099,503,1319.096717,49,2,36,10,1447,90117,1604.94882,2.062320569,1312,68,973.2773733
107977,688,1967.417577,55,4,25,14,1584,96783,1651.388501,2.327648269,1741,89,1476.934062
65622,643,2085.732366,63,4,30,8,1408,94790,1981.214743,2.414670924,1711,130,1581.585893
76281,687,2076.210827,44,2,21,6,1557,104742,2584.173514,2.308435281,2459,61,1582.968662
89433,672,1496.317057,40,3,18,12,1545,101089,1572.664859,2.368848626,1804,115,1110.053646
89875,519,1631.445165,41,4,25,5,1572,91057,1724.913329,1.988731299,2392,121,1221.156132
131067,658,2258.356965,29,3,18,14,1509,101242,2793.733645,2.572198543,1797,82,1737.685572
55132,469,916.413038,50,4,33,12,1482,93897,919.2072687,1.981528398,1308,62,665.1304304
144932,582,959.2472708,66,2,38,6,1477,104273,720.6636467,1.936079264,1504,92,713.3978166
108016,646,1520.192694,79,3,31,13,1465,94721,1163.692034,1.999849395,1356,70,1142.154155
93239,517,1686.864605,28,1,32,8,1538,92638,1839.861651,2.577644142,2180,132,1271.491684
110891,430,774.2506942,60,4,16,8,1489,92456,662.5693784,1.851962897,1482,83,544.4005554
143343,548,1792.834814,58,3,20,11,1471,97907,1773.544571,2.418756236,2231,79,1339.267851
89550,415,1446.03681,78,2,26,7,1594,99884,1483.179896,1.884229203,2263,69,1105.829448
